Customer Key,First Name,Last name,Registered Address,Registered City,Registered Province,Postal Code,Phone,Email,Gender,Age,latitude,longitude
1,Francoise,Rautenstrauch,[redacted],Windsor,ON,N8N 3N2,[redacted],[redacted],F,49,42.2946,-82.8667
2,Kendra,Loud,[redacted],Alcida,NB,E8J 2C4,[redacted],[redacted],Not Specified,46,47.7941,-65.8219
3,Lourdes,Bauswell,[redacted],Belleville,ON,K8P 1B3,[redacted],[redacted],F,58,44.1665,-77.4037
4,Hannah,Edmison,[redacted],Vancouver,BC,V5Z 3K2,[redacted],[redacted],M,66,49.2475,-123.121
5,Tom,Loeza,[redacted],LIle-Perrot,QC,J7V 4T4,[redacted],[redacted],M,52,45.4001,-74.0325
6,Queenie,Kramarczyk,[redacted],Swift Current,SK,S9H 4V2,[redacted],[redacted],F,46,50.2834,-107.8013
7,Hui,Portaro,[redacted],Baker Brook,NB,E7A 1T3,[redacted],[redacted],M,56,47.3,-68.7487
8,Josefa,Opitz,[redacted],Delhi,ON,N4B 1C4,[redacted],[redacted],Not Specified,64,42.8501,-80.4997
9,Lea,Steinhaus,[redacted],Bradford,ON,L3Z 2S4,[redacted],[redacted],F,57,44.1168,-79.5663
10,Paola,Vielma,[redacted],Aurora,ON,L4G 2J7,[redacted],[redacted],Not Specified,42,44.0001,-79.4663
11,Hortencia,Bresser,[redacted],New Waterford,NS,B1H 1Z4,[redacted],[redacted],M,38,46.2501,-60.0817
12,Leanna,Tijerina,[redacted],North York,ON,M9L 2T9,[redacted],[redacted],M,54,43.7598,-79.5565
13,Danilo,Pride,[redacted],Red Deer,AB,T4R 2H5,[redacted],[redacted],M,34,52.2424,-113.7784
14,Huey,Marcille,[redacted],Edmonton,AB,T5P 1G9,[redacted],[redacted],F,24,53.5463,-113.5957
15,Apolonia,Warne,[redacted],Fredericton,NB,E3G 0A3,[redacted],[redacted],F,60,46.0546,-66.7344
16,Chandra,Lagos,[redacted],Etobicoke,ON,M8Z 3P6,[redacted],[redacted],M,56,43.6256,-79.5231
17,Crissy,Pacholec,[redacted],Barrie,ON,L4N 6T7,[redacted],[redacted],F,25,44.3572,-79.6929
18,Gianna,Branin,[redacted],Calgary,AB,T2K 4X5,[redacted],[redacted],M,56,51.1111,-114.0477
19,Valentin,Billa,[redacted],Pangman,SK,S0C 2C0,[redacted],[redacted],F,40,49.3961,-103.2567
20,Ilona,Dudash,[redacted],Rouyn-Noranda,QC,J9X 3V4,[redacted],[redacted],M,35,48.2855,-78.8234
21,Willard,Lablanc,[redacted],Leduc,AB,T9E 5A6,[redacted],[redacted],Not Specified,34,53.2668,-113.552
22,Lauryn,Randol,[redacted],North Vancouver,BC,V7L 3X6,[redacted],[redacted],F,53,49.316,-123.0576
23,Laurena,Begin,[redacted],London,ON,N6A 1S5,[redacted],[redacted],M,44,42.9976,-81.2563
24,Elise,Michelle,[redacted],Hamilton,ON,L8R 3J3,[redacted],[redacted],F,54,43.2726,-79.8792
25,Corrie,Kardell,[redacted],Pierrefonds,QC,H9J 1W6,[redacted],[redacted],M,24,45.4501,-73.8659
26,Kimberely,Rabuse,[redacted],Windsor,ON,N8S 3R1,[redacted],[redacted],M,49,42.3283,-82.9472
27,Tish,Violett,[redacted],Laval,QC,H7W 5K7,[redacted],[redacted],F,19,45.5338,-73.7652
28,Hollis,Stanfield,[redacted],Yellowhead County,AB,T7E 3A7,[redacted],[redacted],F,52,53.5834,-116.4356
29,Andree,Christmann,[redacted],Strathroy,ON,N7G 3K6,[redacted],[redacted],M,38,42.9551,-81.6223
30,Lyla,Fucillo,[redacted],North River,NS,B6L 6N1,[redacted],[redacted],Not Specified,34,45.4093,-63.2114
31,Felton,Yafuso,[redacted],Ottawa,ON,K1Y 1M2,[redacted],[redacted],F,52,45.4023,-75.7329
32,Dell,Polino,[redacted],Becancour,QC,G9H 1H7,[redacted],[redacted],M,44,46.3334,-72.4324
